date,downloads,library
2024-12-13,22664563,requests
2024-12-14,17111030,requests
2024-12-15,16723325,requests
2024-12-16,24964113,requests
2024-12-17,24154407,requests
2024-12-18,22208054,requests
2024-12-19,21812349,requests
2024-12-20,20111605,requests
2024-12-21,14723241,requests
2024-12-22,14224103,requests
2024-12-23,18285982,requests
2024-12-24,15515060,requests
2024-12-25,13417923,requests
2024-12-26,14901901,requests
2024-12-27,15195226,requests
2024-12-28,12260899,requests
2024-12-29,12414519,requests
2024-12-30,16522413,requests
2024-12-31,16034468,requests
2025-01-01,14165590,requests
2025-01-02,18055119,requests
2025-01-03,18207382,requests
2025-01-04,13695035,requests
2025-01-05,13519099,requests
2025-01-06,20530600,requests
2025-01-07,21894704,requests
2025-01-08,22658985,requests
2025-01-09,22133030,requests
2025-01-10,21454242,requests
2025-01-11,13750554,requests
2025-01-12,13295201,requests
2025-01-13,21498085,requests
2025-01-14,22884273,requests
2025-01-15,22773684,requests
2025-01-16,22439666,requests
2025-01-17,22523268,requests
2025-01-18,13913243,requests
2025-01-19,13416439,requests
2025-01-20,19892160,requests
2025-01-21,22467631,requests
2025-01-22,22981426,requests
2025-01-23,22221147,requests
2025-01-24,21149539,requests
2025-01-25,13670493,requests
2025-01-26,13182072,requests
2025-01-27,21792792,requests
2025-01-28,23881935,requests
2025-01-29,23711194,requests
2025-01-30,22593886,requests
2025-01-31,21352684,requests
2025-02-01,14007089,requests
2025-02-02,13559022,requests
2025-02-03,22476555,requests
2025-02-04,23780110,requests
2025-02-05,23265775,requests
2025-02-06,23083635,requests
2025-02-07,22228974,requests
2025-02-08,14072648,requests
2025-02-09,13389157,requests
2025-02-10,23100230,requests
2025-02-11,23795747,requests
2025-02-12,24318838,requests
2025-02-13,23675669,requests
2025-02-14,22001577,requests
2025-02-15,13959821,requests
2025-02-16,13710458,requests
2025-02-17,21253783,requests
2025-02-18,23570412,requests
2025-02-19,24064719,requests
2025-02-20,23798619,requests
2025-02-21,22275326,requests
2025-02-22,14519145,requests
2025-02-23,13694181,requests
2025-02-24,23473671,requests
2025-02-25,24392875,requests
2025-02-26,24183401,requests
2025-02-27,24676065,requests
2025-02-28,21848111,requests
2025-03-01,15194629,requests
2025-03-02,13719214,requests
2025-03-03,22194445,requests
2025-03-04,24043611,requests
2025-03-05,24208003,requests
2025-03-06,23524655,requests
2025-03-07,23185261,requests
2025-03-08,13800785,requests
2025-03-09,13364264,requests
2025-03-10,22769645,requests
2025-03-11,23791205,requests
2024-12-13,16190166,numpy
2024-12-14,16124645,numpy
2024-12-15,16042045,numpy
2024-12-16,20573561,numpy
2024-12-17,17469618,numpy
2024-12-18,13444306,numpy
2024-12-19,13323841,numpy
2024-12-20,13304320,numpy
2024-12-21,11550055,numpy
2024-12-22,11281289,numpy
2024-12-23,12661654,numpy
2024-12-24,10238333,numpy
2024-12-25,9334056,numpy
2024-12-26,10010277,numpy
2024-12-27,9985656,numpy
2024-12-28,8340804,numpy
2024-12-29,8344874,numpy
2024-12-30,11764402,numpy
2024-12-31,11971391,numpy
2025-01-01,10630470,numpy
2025-01-02,11756094,numpy
2025-01-03,11847390,numpy
2025-01-04,10018565,numpy
2025-01-05,9834369,numpy
2025-01-06,13475471,numpy
2025-01-07,14053372,numpy
2025-01-08,14248691,numpy
2025-01-09,14099148,numpy
2025-01-10,13871567,numpy
2025-01-11,10039551,numpy
2025-01-12,9377319,numpy
2025-01-13,13560219,numpy
2025-01-14,14374334,numpy
2025-01-15,14053102,numpy
2025-01-16,13545664,numpy
2025-01-17,13613216,numpy
2025-01-18,8853586,numpy
2025-01-19,8668502,numpy
2025-01-20,12222251,numpy
2025-01-21,13787930,numpy
2025-01-22,13722389,numpy
2025-01-23,14079696,numpy
2025-01-24,13649501,numpy
2025-01-25,9024435,numpy
2025-01-26,8922887,numpy
2025-01-27,13932422,numpy
2025-01-28,16851480,numpy
2025-01-29,16262068,numpy
2025-01-30,14353177,numpy
2025-01-31,14103941,numpy
2025-02-01,10055334,numpy
2025-02-02,9688623,numpy
2025-02-03,13844178,numpy
2025-02-04,16059334,numpy
2025-02-05,16079547,numpy
2025-02-06,14622713,numpy
2025-02-07,14342996,numpy
2025-02-08,10003420,numpy
2025-02-09,9268731,numpy
2025-02-10,13986096,numpy
2025-02-11,14207953,numpy
2025-02-12,14970785,numpy
2025-02-13,15066495,numpy
2025-02-14,13665783,numpy
2025-02-15,9471511,numpy
2025-02-16,9371645,numpy
2025-02-17,13437765,numpy
2025-02-18,14707503,numpy
2025-02-19,14802870,numpy
2025-02-20,15175520,numpy
2025-02-21,15209402,numpy
2025-02-22,11918106,numpy
2025-02-23,10134733,numpy
2025-02-24,15644838,numpy
2025-02-25,16826482,numpy
2025-02-26,16949969,numpy
2025-02-27,18153653,numpy
2025-02-28,13994312,numpy
2025-03-01,14146595,numpy
2025-03-02,9945030,numpy
2025-03-03,13903372,numpy
2025-03-04,17191124,numpy
2025-03-05,16072111,numpy
2025-03-06,14791362,numpy
2025-03-07,17139506,numpy
2025-03-08,9312113,numpy
2025-03-09,8852969,numpy
2025-03-10,14268626,numpy
2025-03-11,14820304,numpy
2024-12-13,11882226,pandas
2024-12-14,10631692,pandas
2024-12-15,10688764,pandas
2024-12-16,13978338,pandas
2024-12-17,12864830,pandas
2024-12-18,10838345,pandas
2024-12-19,10477622,pandas
2024-12-20,10297880,pandas
2024-12-21,8462865,pandas
2024-12-22,8145348,pandas
2024-12-23,9481673,pandas
2024-12-24,8046089,pandas
2024-12-25,7271442,pandas
2024-12-26,7928712,pandas
2024-12-27,8075818,pandas
2024-12-28,6510288,pandas
2024-12-29,6503569,pandas
2024-12-30,8769370,pandas
2024-12-31,8533425,pandas
2025-01-01,7659094,pandas
2025-01-02,8945069,pandas
2025-01-03,9196794,pandas
