,downloads,library
2024-12-13,22664563.0,requests
2024-12-14,17111030.0,requests
2024-12-16,24964113.0,requests
2024-12-17,24154407.0,requests
2024-12-18,22208054.0,requests
2024-12-19,21812349.0,requests
2024-12-20,20111605.0,requests
2024-12-21,14723241.0,requests
2024-12-23,18285982.0,requests
2024-12-24,15515060.0,requests
2024-12-26,14901901.0,requests
2024-12-27,15195226.0,requests
2024-12-28,12260899.0,requests
2024-12-29,12414519.0,requests
2024-12-30,16522413.0,requests
2024-12-31,16034468.0,requests
2025-01-01,14165590.0,requests
2025-01-02,18055119.0,requests
2025-01-03,18207382.0,requests
2025-01-04,13695035.0,requests
2025-01-05,13519099.0,requests
2025-01-06,20530600.0,requests
2025-01-07,21894704.0,requests
2025-01-08,22658985.0,requests
2025-01-09,22133030.0,requests
2025-01-10,21454242.0,requests
2025-01-11,13750554.0,requests
2025-01-12,13295201.0,requests
2025-01-13,21498085.0,requests
2025-01-14,22884273.0,requests
2025-01-15,22773684.0,requests
2025-01-16,22439666.0,requests
2025-01-17,22523268.0,requests
2025-01-18,13913243.0,requests
2025-01-19,13416439.0,requests
2025-01-20,19892160.0,requests
2025-01-21,22467631.0,requests
2025-01-22,22981426.0,requests
2025-01-23,22221147.0,requests
2025-01-24,21149539.0,requests
2025-01-25,13670493.0,requests
2025-01-26,13182072.0,requests
2025-01-27,21792792.0,requests
2025-01-28,23881935.0,requests
2025-01-29,23711194.0,requests
2025-01-30,22593886.0,requests
2025-01-31,21352684.0,requests
2025-02-01,14007089.0,requests
2025-02-02,13559022.0,requests
2025-02-03,22476555.0,requests
2025-02-04,23780110.0,requests
2025-02-05,23265775.0,requests
2025-02-06,23083635.0,requests
2025-02-07,22228974.0,requests
2025-02-08,14072648.0,requests
2025-02-09,13389157.0,requests
2025-02-10,23100230.0,requests
2025-02-11,23795747.0,requests
2025-02-12,24318838.0,requests
2025-02-13,23675669.0,requests
2025-02-14,22001577.0,requests
2025-02-15,13959821.0,requests
2025-02-16,13710458.0,requests
2025-02-17,21253783.0,requests
2025-02-18,23570412.0,requests
2025-02-19,24064719.0,requests
2025-02-20,23798619.0,requests
2025-02-21,22275326.0,requests
2025-02-22,14519145.0,requests
2025-02-23,13694181.0,requests
2025-02-24,23473671.0,requests
2025-02-25,24392875.0,requests
2025-02-26,24183401.0,requests
2025-02-27,24676065.0,requests
2025-02-28,21848111.0,requests
2025-03-01,15194629.0,requests
2025-03-02,13719214.0,requests
2025-03-03,22194445.0,requests
2025-03-04,24043611.0,requests
2025-03-05,24208003.0,requests
2025-03-06,23524655.0,requests
2025-03-07,23185261.0,requests
2025-03-08,13800785.0,requests
2025-03-09,13364264.0,requests
2025-03-10,22769645.0,requests
2025-03-11,23791205.0,requests
2024-12-15,16723325.0,requests
2024-12-22,14224103.0,requests
2024-12-25,13417923.0,requests
2024-12-13,16190166.0,numpy
2024-12-18,13444306.0,numpy
2024-12-19,13323841.0,numpy
2024-12-22,11281289.0,numpy
2024-12-24,10238333.0,numpy
2024-12-27,9985656.0,numpy
2024-12-28,8340804.0,numpy
2024-12-30,11764402.0,numpy
2025-01-01,10630470.0,numpy
2025-01-02,11756094.0,numpy
2025-01-03,11847390.0,numpy
2025-01-05,9834369.0,numpy
2025-01-11,10039551.0,numpy
2025-01-12,9377319.0,numpy
2025-01-18,8853586.0,numpy
2025-01-19,8668502.0,numpy
2025-01-22,13722389.0,numpy
2025-01-25,9024435.0,numpy
2025-01-26,8922887.0,numpy
2025-01-27,13932422.0,numpy
2025-01-29,16262068.0,numpy
2025-01-30,14353177.0,numpy
2025-02-02,9688623.0,numpy
2025-02-03,13844178.0,numpy
2025-02-04,16059334.0,numpy
2025-02-06,14622713.0,numpy
2025-02-08,10003420.0,numpy
2025-02-16,9371645.0,numpy
2025-02-19,14802870.0,numpy
2025-02-20,15175520.0,numpy
2025-02-21,15209402.0,numpy
2025-03-04,17191124.0,numpy
2025-03-06,14791362.0,numpy
2025-03-07,17139506.0,numpy
2025-03-10,14268626.0,numpy
2025-03-11,14820304.0,numpy
2024-12-14,16124645.0,numpy
2024-12-15,16042045.0,numpy
2024-12-16,20573561.0,numpy
2024-12-17,17469618.0,numpy
2024-12-20,13304320.0,numpy
2024-12-21,11550055.0,numpy
2024-12-23,12661654.0,numpy
2024-12-25,9334056.0,numpy
2024-12-26,10010277.0,numpy
2024-12-29,8344874.0,numpy
2024-12-31,11971391.0,numpy
2025-01-04,10018565.0,numpy
2025-01-06,13475471.0,numpy
2025-01-07,14053372.0,numpy
2025-01-08,14248691.0,numpy
2025-01-09,14099148.0,numpy
